sepal length,sepal width,petal length,petal width,petal weight,species
5.1,3.5,1.4,0.2,4,setosa
4.9,3.0,1.4,0.2,4,setosa
4.7,3.2,1.3,0.2,3,setosa
5.1,3.5,1.4,0.3,4,setosa
5.7,3.8,1.7,0.3,7,setosa
5.1,3.8,1.5,0.3,5,setosa
5.4,3.4,1.7,0.2,7,setosa
5.1,3.7,1.5,0.4,5,setosa
4.6,3.6,1.0,0.2,0,setosa
5.1,3.3,1.7,0.5,7,setosa
4.8,3.4,1.9,0.2,9,setosa
5.0,3.0,1.6,0.2,6,setosa
5.0,3.4,1.6,0.4,6,setosa
5.2,3.5,1.5,0.2,5,setosa
5.2,3.4,1.4,0.2,4,setosa
7.0,3.2,4.7,1.4,7,versicolor
6.4,3.2,4.5,1.5,5,versicolor
6.9,3.1,4.9,1.5,9,versicolor
5.5,2.3,4.0,1.3,0,versicolor
6.5,2.8,4.6,1.5,6,versicolor
5.7,2.8,4.5,1.3,5,versicolor
6.3,3.3,4.7,1.6,7,versicolor
4.9,2.4,3.3,1.0,3,versicolor
6.6,2.9,4.6,1.3,6,versicolor
5.2,2.7,3.9,1.4,9,versicolor
5.0,2.0,3.5,1.0,5,versicolor
5.9,3.0,4.2,1.5,2,versicolor
6.0,2.2,4.0,1.0,0,versicolor
6.1,2.9,4.7,1.4,7,versicolor
